iter	Logloss
0	0.6920295715
1	0.6911188507
2	0.6901721191
3	0.6893318176
4	0.6882559967
5	0.6872047424
6	0.6859650421
7	0.6850478363
8	0.6840146637
9	0.6834910583
10	0.6827536774
11	0.6818266296
12	0.6807232666
13	0.6799407196
14	0.6792216492
15	0.6785075378
16	0.6778572845
17	0.6770228577
18	0.6761401367
19	0.6754385376
20	0.674909668
21	0.6737851715
22	0.6727909851
23	0.671605072
24	0.6708103943
25	0.6701370239
26	0.6694842529
27	0.6691133881
28	0.6682911682
29	0.6676423645
30	0.6670354462
31	0.6662903595
32	0.6656246948
33	0.6650695801
34	0.6642989349
35	0.6636549377
36	0.6627209473
37	0.6621727753
38	0.6613905334
39	0.6606736755
40	0.6598807526
41	0.6589718628
42	0.6582781219
43	0.657570343
44	0.6571821594
45	0.65632164
46	0.6557519531
47	0.6550283051
48	0.6542900848
49	0.6533579254
